budget_imdb;rating_imdb;votes_imdb;director_imdb;popularity_imdb;wins;nominations;oscars_won;bin_oscar_nom;revenue
-1;6.6;294;John Ford (as Jack Ford);NaN;0;0;0;0;0
-1;6.8;237;Ernst Lubitsch;NaN;0;0;0;0;0
-1;5.2;176;James Vincent;NaN;0;0;0;0;0
-1;;;Nicholas T. Barrows (as Nick Barrows);NaN;0;0;0;0;0
-1;;;Jacques de Baroncelli;NaN;0;0;0;0;0
-1;;;Musidora;NaN;0;0;0;0;0
-1;;;Thomas Bentley;NaN;0;0;0;0;0
-1;7.2;12;Hinko Nucic;NaN;0;0;0;0;0
-1;;;William Watson (as William H. Watson);NaN;0;0;0;0;0
-1;;;;NaN;0;0;0;0;0
-1;;;Hank Mann;NaN;0;0;0;0;0
-1;;;William Campbell (as William S. Campbell);NaN;0;0;0;0;0
-1;6.9;109;Dimitri Buchowetzki;NaN;0;0;0;0;0
-1;7.2;905;Max Linder;NaN;0;0;0;0;0
-1;5.9;253;Winsor McCay;NaN;0;0;0;0;0
-1;7.0;59;;NaN;0;0;0;0;0
-1;;;Erik Lund;NaN;0;0;0;0;0
-1;;;Chalux (as Roger de Chateleux);NaN;0;0;0;0;0
-1;;;;NaN;0;0;0;0;0
-1;;;Rudolf Biebrach;NaN;0;0;0;0;0
-1;;;Sidney Olcott;NaN;0;0;0;0;0
-1;6.1;7;Viktor Tourjansky;NaN;0;0;0;0;0
-1;5.2;17;Noel M. Smith (as Noel Smith);NaN;0;0;0;0;0
-1;5.7;12;Louis Feuillade;NaN;0;0;0;0;0
-1;5.9;32;Lambert Hillyer;NaN;0;0;0;0;0
-1;7.7;5055;;NaN;0;0;0;0;0
-1;6.6;174;;NaN;0;0;0;0;0
-1;7.2;483;Wladyslaw Starewicz;NaN;0;0;0;0;0
-1;5.4;348;Walt Disney;NaN;0;0;0;0;0
-1;;;;NaN;0;0;0;0;0
-1;;;Maurice Lagrenée;NaN;0;0;0;0;0
-1;;;Heinz Schall;NaN;0;0;0;0;0
-1;;;Erich Schönfelder;NaN;0;0;0;0;0
-1;;;Nelo Cosimi;NaN;0;0;0;0;0
-1;;;André Hugon;NaN;0;0;0;0;0
-1;;;Gerhard Lamprecht;NaN;0;0;0;0;0
-1;;;;NaN;0;0;0;0;0
-1;;;Tressie Souders;NaN;0;0;0;0;0
-1;6.4;51;Alfred J. Goulding;NaN;0;0;0;0;0
-1;6.0;11;Emory Johnson;NaN;0;0;0;0;0
-1;6.5;19;Ludwig Berger;NaN;0;0;0;0;0
-1;5.8;13;Vladimir Barskiy (as V. Barski);NaN;0;0;0;0;0
-1;;;Jean Legrand;NaN;0;0;0;0;0
-1;;;Jean Hervé;NaN;0;0;0;0;0
-1;;;Henry Kolker;NaN;0;0;0;0;0
-1;;;;NaN;0;0;0;0;0
-1;;;José A. Ferreyra;NaN;0;0;0;0;0
-1;7.2;19;;NaN;0;0;0;0;0
-1;7.1;25;Roy Del Ruth;NaN;0;0;0;0;0
-1;;;Edward Laemmle;NaN;0;0;0;0;0
-1;8.0;901;Allan Dwan;NaN;0;0;0;0;0
-1;6.5;301;Walter Ruttmann (as Ruttmann);NaN;0;0;0;0;0
-1;8.3;613;E. Mason Hopper;NaN;0;0;0;0;0
-1;5.4;162;Walt Disney;NaN;0;0;0;0;0
-1;6.5;317;D.W. Griffith;NaN;0;0;0;0;0
-1;;;;NaN;0;0;0;0;0
-1;;;Édouard Chimot;NaN;0;0;0;0;0
-1;6.9;15;Richard Oswald;NaN;0;0;0;0;0
-1;;;Hanns Schwarz;NaN;0;0;0;0;0
-1;;;Quirino Cristiani;NaN;0;0;0;0;0
-1;;;Frank Tuttle;NaN;0;0;0;0;0
-1;;;Sidney Morgan;NaN;0;0;0;0;0
-1;4.8;8;;NaN;0;0;0;0;0
-1;7.5;792;William Beaudine;NaN;0;0;0;0;0
-1;7.5;886;Ernst Lubitsch;NaN;0;0;0;0;0
-1;4.7;28;Solomon Sir Jones;NaN;0;0;0;0;0
-1;6.6;27;;NaN;0;0;0;0;0
-1;5.3;63;Dziga Vertov;NaN;0;0;0;0;0
-1;4.7;73;Walt Disney;NaN;0;0;0;0;0
-1;5.9;15;David Smith;NaN;0;0;0;0;0
-1;;;Édouard Chimot;NaN;0;0;0;0;0
-1;5.2;14;;NaN;0;0;0;0;0
-1;7.2;14;Paul Wegener;NaN;0;0;0;0;0
-1;;;Erich Schönfelder;NaN;0;0;0;0;0
-1;;;Miguel Ballesteros Pérez;NaN;0;0;0;0;0
-1;5.7;6;John Francis Dillon;NaN;0;0;0;0;0
-1;7.6;2258;Teinosuke Kinugasa;NaN;0;0;0;0;0
-1;6.6;312;James Young;NaN;0;0;0;0;0
-1;;;;NaN;0;0;0;0;0
-1;;;Carl Boese;NaN;0;0;0;0;0
-1;7.2;327;Raoul Walsh;NaN;0;0;0;0;0
-1;5.6;119;Walt Disney;NaN;0;0;0;0;0
-1;;;John B. O'Brien;NaN;0;0;0;0;0
-1;;;René Le Somptier;NaN;0;0;0;0;0
-1;;;Manfred Noa;NaN;0;0;0;0;0
-1;6.2;11;;NaN;0;0;0;0;0
-1;;;Jaap Speyer;NaN;0;0;0;0;0
-1;;;Carl Froelich;NaN;0;0;0;0;0
-1;7.3;67;Daisuke Itô;NaN;0;0;0;0;0
-1;8.2;42801;F.W. Murnau;NaN;2;2;3;1;0
250000;7.8;2714;Frank Borzage;NaN;3;3;3;1;250000
-1;7.7;10035;;NaN;1;2;2;1;0
-1;7.3;8889;Alfred Hitchcock;NaN;0;0;0;0;0
-1;6.4;97;;NaN;0;0;0;0;0
-1;5.8;80;Albert Arthur Allen;NaN;0;0;0;0;0
-1;6.4;108;Leo McCarey;NaN;0;0;0;0;0
-1;6.3;224;John Ford;NaN;0;0;0;0;0
-1;3.5;8;Francisco Gómez Hidalgo;NaN;0;0;0;0;0
-1;;;Charles Lamont;NaN;0;0;0;0;0
-1;;;Phil Rosen;NaN;0;0;0;0;0
-1;;;;NaN;0;0;0;0;0
-1;;;Carmine Gallone;NaN;0;0;0;0;0
-1;5.4;9;John M. Stahl;NaN;0;0;0;0;0
-1;6.8;9;Hanns Schwarz;NaN;0;0;0;0;0
-1;8.1;2204;King Vidor;NaN;0;0;0;0;0
-1;7.5;1924;Frank Borzage;NaN;0;2;1;1;0
-1;8.0;2891;Josef von Sternberg;NaN;0;0;1;1;0
-1;6.8;30;Irvin Willat;NaN;0;0;0;0;0
390000;7.1;325;Victor Sjöström (as Victor Seastrom);NaN;0;0;0;0;390000
-1;4.8;26;Solomon Sir Jones;NaN;0;0;0;0;0
-1;7.0;253;Fred Guiol (as Fred L. Guiol);NaN;0;0;0;0;0
-1;5.7;780;Irving Cummings;NaN;0;4;1;1;0
-1;;;Tomiyasu Ikeda;NaN;0;0;0;0;0
-1;;;Ernst Lubitsch;NaN;0;4;1;1;0
-1;5.4;107;John Ford (uncredited);NaN;0;0;0;0;0
-1;;;Arch Heath;NaN;0;0;0;0;0
-1;;;;NaN;0;0;0;0;0
-1;;;;NaN;0;0;0;0;0
-1;;;Géza von Bolváry;NaN;0;0;0;0;0
-1;;;Ragnar Hyltén-Cavallius;NaN;0;0;0;0;0
1558000;6.2;5688;Harry Beaumont;NaN;0;2;1;1;1558000
-1;7.3;107;Jean Grémillon;NaN;0;0;0;0;0
-1;7.4;2531;Fritz Lang;NaN;0;0;0;0;0
-1;6.4;888;Alfred E. Green;NaN;2;2;1;1;0
-1;7.8;1157;Edmund Goulding;NaN;0;0;0;0;0
-1;6.6;424;Yasujirô Ozu;NaN;0;0;0;0;0
-1;5.1;7;Bradley Barker;NaN;0;0;0;0;0
-1;6.8;100;;NaN;0;0;0;0;0
-1;6.3;589;Frank Lloyd;NaN;0;2;1;1;0
-1;5.9;294;;NaN;0;0;0;0;0
-1;5.8;34;Kote Marjanishvili (as Kote Mardjanishvili);NaN;0;0;0;0;0
-1;5.6;243;Walt Disney (uncredited);NaN;0;0;0;0;0
-1;4.4;13;Paul Terry;NaN;0;0;0;0;0
-1;6.4;98;Castleton Knight;NaN;0;0;0;0;0
-1;5.7;9;Erle C. Kenton;NaN;0;0;0;0;0
-1;;;René Barberis;NaN;0;0;0;0;0
-1;8.1;53136;Lewis Milestone;NaN;5;5;2;1;0
-1;7.6;893;Thornton Freeland;NaN;0;0;0;0;0
-1;6.7;105;James W. Horne;NaN;0;0;0;0;0
-1;6.8;2412;Robert Z. Leonard (uncredited);NaN;0;3;1;1;0
-1;6.0;88;;NaN;0;0;0;0;0
-1;7.1;1609;;NaN;0;2;2;1;0
-1;5.5;33;Henry MacRae;NaN;0;0;0;0;0
-1;5.5;132;;NaN;0;0;0;0;0
-1;6.5;825;Archie Mayo;NaN;0;0;0;0;0
-1;7.2;860;John Murray Anderson;NaN;0;0;1;1;0
-1;5.9;225;Ub Iwerks (uncredited);NaN;0;0;0;0;0
-1;6.2;79;Marcel De Sano;NaN;0;0;0;0;0
-1;5.5;10;Monte Carter;NaN;0;0;0;0;0
-1;4.8;44;;NaN;0;0;0;0;0
-1;5.9;20;John P. McCarthy;NaN;0;0;0;0;0
-1;3.7;18;;NaN;0;0;0;0;0
-1;8.5;144235;Charles Chaplin;NaN;3;0;0;0;0
-1;6.6;126;Rowland Brown;NaN;0;0;0;0;0
1028960;7.6;4351;F.W. Murnau;NaN;2;0;1;1;1028960
-1;6.0;100;Hanns Schwarz;NaN;0;0;0;0;0
-1;6.7;673;Edgar Selwyn;NaN;5;3;1;1;0
-1;7.3;2426;King Vidor (uncredited);NaN;0;3;2;1;0
-1;7.0;41;Grace Elliott;NaN;0;0;0;0;0
-1;6.8;355;Mikio Naruse;NaN;0;0;0;0;0
-1;6.2;52;;NaN;0;0;0;0;0
-1;6.7;1984;Clarence Brown;NaN;0;2;1;1;0
-1;7.0;5;Mort Blumenstock;NaN;0;0;0;0;0
-1;6.5;103;Dave Fleischer;NaN;0;0;0;0;0
-1;6.3;599;Norman Taurog;NaN;0;3;1;1;0
-1;6.6;909;Frank Borzage;NaN;0;0;2;1;0
-1;6.6;960;William A. Wellman;NaN;0;0;0;0;0
-1;6.0;4727;Wesley Ruggles (uncredited);NaN;2;2;3;1;0
-1;6.7;575;Burt Gillett (uncredited);NaN;0;0;0;0;0
-1;;;Hans Steinhoff;NaN;0;0;0;0;0
-1;6.0;72;Victor Schertzinger;NaN;0;0;0;0;0
-1;7.4;284;Sam Taylor;NaN;0;0;0;0;0
1359000;7.5;15534;Edmund Goulding;NaN;0;0;1;1;1359000
-1;5.8;206;Thornton Freeland;NaN;0;0;0;0;0
-1;8.1;602;James Parrott;NaN;0;0;1;1;0
-1;7.7;11323;Rouben Mamoulian;NaN;2;2;1;1;0
-1;6.4;209;Lowell Sherman;NaN;0;0;0;0;0
-1;6.5;189;Sam Wood (uncredited);NaN;0;0;0;0;0
-1;7.1;559;Edward Buzzell (as Edduie Buzzell);NaN;0;0;0;0;0
-1;7.4;6446;Josef von Sternberg;NaN;0;2;1;1;0
-1;6.7;747;Raoul Walsh;NaN;0;0;0;0;0
-1;6.5;4364;Frank Borzage;NaN;1;1;2;1;0
-1;6.9;275;Wilfred Jackson;NaN;0;0;0;0;0
-1;4.6;14;;NaN;0;0;0;0;0
-1;5.9;104;Hugh Harman (uncredited);NaN;0;0;0;0;0
-1;6.7;1017;Roy Del Ruth;NaN;0;0;0;0;0
-1;6.4;242;Marion Gering;NaN;0;0;0;0;0
-1;6.3;218;Wilfred Jackson;NaN;0;0;0;0;0
-1;5.8;25;Harry L. Fraser (as Harry Fraser);NaN;0;0;0;0;0
17440000;6.0;3922;Frank Lloyd;NaN;3;7;3;1;17440000
-1;6.5;4911;Lowell Sherman;NaN;1;1;0;1;0
-1;7.2;151;Yu Sun;NaN;0;0;0;0;0
-1;7.2;921;Lloyd French;NaN;0;0;0;0;0
-1;7.1;277;Humberto Mauro;NaN;0;0;0;0;0
